nohup: ignoring input
Device: cuda | Architecture: LeNet5

Training MNIST_DVS (10000 samples, 10 classes)...
Epoch 81/100 | Train Acc: 98.43% | Val Acc: 97.40%
Epoch 82/100 | Train Acc: 98.45% | Val Acc: 97.49%
Epoch 83/100 | Train Acc: 98.44% | Val Acc: 97.45%
Epoch 84/100 | Train Acc: 98.47% | Val Acc: 97.47%
Epoch 85/100 | Train Acc: 98.50% | Val Acc: 97.54%
Epoch 86/100 | Train Acc: 98.49% | Val Acc: 97.56%
Epoch 87/100 | Train Acc: 98.55% | Val Acc: 97.35%
Epoch 88/100 | Train Acc: 98.54% | Val Acc: 97.55%
Epoch 89/100 | Train Acc: 98.58% | Val Acc: 97.49%
Epoch 90/100 | Train Acc: 98.61% | Val Acc: 97.14%
Epoch 91/100 | Train Acc: 98.63% | Val Acc: 97.51%
Epoch 92/100 | Train Acc: 98.64% | Val Acc: 97.54%
Epoch 93/100 | Train Acc: 98.67% | Val Acc: 97.39%
Epoch 94/100 | Train Acc: 98.67% | Val Acc: 96.97%
Epoch 95/100 | Train Acc: 98.72% | Val Acc: 97.59%
Epoch 96/100 | Train Acc: 98.69% | Val Acc: 97.56%
Epoch 97/100 | Train Acc: 98.71% | Val Acc: 97.51%
Epoch 98/100 | Train Acc: 98.72% | Val Acc: 97.77%
Epoch 99/100 | Train Acc: 98.77% | Val Acc: 97.54%
Epoch 100/100 | Train Acc: 98.78% | Val Acc: 97.75%
[ASL_DVS RESULTS] Top-1 Test Acc: 97.73%
